geoid,name,median_income,median_age,total_pop
92119,ZCTA5 92119,92500,43.7,24831
92127,ZCTA5 92127,138338,36.8,49935
92129,ZCTA5 92129,125250,39.3,54762
92201,ZCTA5 92201,45848,38.3,65726
92210,ZCTA5 92210,103750,67.4,5138
92211,ZCTA5 92211,63936,65.7,25056
92241,ZCTA5 92241,30933,55.5,7699
92242,ZCTA5 92242,33276,58.4,1312
92243,ZCTA5 92243,48290,33.4,50402
92251,ZCTA5 92251,83566,30.7,23970
92252,ZCTA5 92252,38333,40.5,9351
92260,ZCTA5 92260,56898,52.6,34660
92266,ZCTA5 92266,19438,66,112
92267,ZCTA5 92267,NA,NA,6
92270,ZCTA5 92270,78682,65.8,18193
92276,ZCTA5 92276,52333,52.1,6748
92278,ZCTA5 92278,51818,21.5,4890
92282,ZCTA5 92282,38396,40.4,1372
92304,ZCTA5 92304,NA,NA,23
92305,ZCTA5 92305,70250,50.6,657
92320,ZCTA5 92320,56051,47.9,8753
92338,ZCTA5 92338,NA,NA,0
92356,ZCTA5 92356,31008,40.9,6573
92382,ZCTA5 92382,58750,39.7,4462
92384,ZCTA5 92384,144688,39.8,17
92411,ZCTA5 92411,41984,28.8,25650
92530,ZCTA5 92530,57286,31,58184
92583,ZCTA5 92583,44756,35.2,32697
92585,ZCTA5 92585,73682,35.1,21907
92595,ZCTA5 92595,78057,34.9,33649
93635,ZCTA5 93635,62526,30.7,41180
93640,ZCTA5 93640,30752,29.2,12920
93646,ZCTA5 93646,27761,26.3,11738
93647,ZCTA5 93647,35000,28.3,11407
93653,ZCTA5 93653,64219,47.9,1377
93657,ZCTA5 93657,57600,34.4,35666
90504,ZCTA5 90504,90210,41.4,33410
90602,ZCTA5 90602,55216,33.1,25581
90631,ZCTA5 90631,83629,37.2,69064
90814,ZCTA5 90814,73391,36.5,19685
90815,ZCTA5 90815,94559,37.8,41312
90071,ZCTA5 90071,61875,41.3,126
94702,ZCTA5 94702,82076,39.8,16860
94704,ZCTA5 94704,38125,21.8,29597
94707,ZCTA5 94707,154184,52.5,11767
94904,ZCTA5 94904,139500,47.7,12994
94014,ZCTA5 94014,90970,39.5,49170
94020,ZCTA5 94020,139219,52.2,1697
93703,ZCTA5 93703,33550,29.2,32754
93725,ZCTA5 93725,47524,27.4,27214
93436,ZCTA5 93436,62423,34.5,56323
93441,ZCTA5 93441,100833,49.1,922
93452,ZCTA5 93452,52578,33.5,658
93518,ZCTA5 93518,41563,57,814
93522,ZCTA5 93522,NA,64.8,100
93528,ZCTA5 93528,2499,31,119
93606,ZCTA5 93606,NA,25.2,1035
93624,ZCTA5 93624,32216,27.9,871
93648,ZCTA5 93648,35210,29.1,16087
93654,ZCTA5 93654,50903,32.5,30373
93656,ZCTA5 93656,49259,33.3,5806
93010,ZCTA5 93010,93534,39,46063
93015,ZCTA5 93015,76334,34.9,17989
93117,ZCTA5 93117,66151,22.1,58546
93202,ZCTA5 93202,50590,27.4,4273
93223,ZCTA5 93223,39720,29.5,10716
93244,ZCTA5 93244,NA,59.5,308
93277,ZCTA5 93277,59223,33.7,52271
93292,ZCTA5 93292,61498,31.3,42031
93305,ZCTA5 93305,31471,27.4,37902
93313,ZCTA5 93313,75162,29.8,55221
93405,ZCTA5 93405,45933,21.8,35898
93424,ZCTA5 93424,58125,66,795
93432,ZCTA5 93432,93867,57.3,1503
93433,ZCTA5 93433,64217,37.2,13535
93450,ZCTA5 93450,50556,27.3,767
93460,ZCTA5 93460,95585,48,5284
93465,ZCTA5 93465,92051,46.4,9202
93532,ZCTA5 93532,64969,46.1,2683
93550,ZCTA5 93550,45918,29.1,77506
93551,ZCTA5 93551,93055,38.2,50601
93561,ZCTA5 93561,64246,40.1,34979
93563,ZCTA5 93563,NA,48.6,357
93602,ZCTA5 93602,63804,50.9,3530
93605,ZCTA5 93605,90750,23.9,198
93610,ZCTA5 93610,54031,34.4,22724
93644,ZCTA5 93644,51745,49.2,9055
93662,ZCTA5 93662,42308,31.3,30725
93668,ZCTA5 93668,50063,39.3,1219
93704,ZCTA5 93704,60109,35.6,29740
93726,ZCTA5 93726,40489,29.2,42824
93906,ZCTA5 93906,67199,32.1,64348
93908,ZCTA5 93908,129789,48.4,12398
93923,ZCTA5 93923,99955,59.6,12837
93665,ZCTA5 93665,40263,28.5,752
93702,ZCTA5 93702,27159,28.3,43601
93705,ZCTA5 93705,40516,31.7,36808
93706,ZCTA5 93706,32325,29.3,40586
93710,ZCTA5 93710,51605,28.4,33448
93905,ZCTA5 93905,51472,27.5,60531
93940,ZCTA5 93940,85503,39.8,32236
95623,ZCTA5 95623,75669,52.2,3665
95140,ZCTA5 95140,NA,54.2,102
95937,ZCTA5 95937,51625,32.1,1540
95939,ZCTA5 95939,41250,36.4,605
95951,ZCTA5 95951,48500,29.7,2686
95960,ZCTA5 95960,36000,41.3,684
95634,ZCTA5 95634,52868,49,3559
95646,ZCTA5 95646,80227,36,80
95650,ZCTA5 95650,102107,48,14808
95664,ZCTA5 95664,72153,39.1,1603
95673,ZCTA5 95673,70876,36.8,16636
95684,ZCTA5 95684,50475,59.3,3129
95689,ZCTA5 95689,52700,57.8,1698
95694,ZCTA5 95694,84949,37.3,10495
95703,ZCTA5 95703,68359,55.6,831
95714,ZCTA5 95714,56250,50.9,522
95762,ZCTA5 95762,142453,44.4,43052
95817,ZCTA5 95817,50925,35.5,13758
95819,ZCTA5 95819,106514,36.4,19890
95824,ZCTA5 95824,38985,32.7,30296
95843,ZCTA5 95843,81028,32.9,47823
95917,ZCTA5 95917,62660,34.9,3717
95918,ZCTA5 95918,73261,52.2,2915
95922,ZCTA5 95922,97764,40.6,831
95926,ZCTA5 95926,49520,27.6,40000
95932,ZCTA5 95932,54167,38,7633
95935,ZCTA5 95935,NA,35.6,261
95938,ZCTA5 95938,86111,38.4,4446
95946,ZCTA5 95946,62434,57.7,8977
95955,ZCTA5 95955,62950,39.8,1386
95959,ZCTA5 95959,69314,53.6,18343
95965,ZCTA5 95965,35138,37.6,20498
95966,ZCTA5 95966,47252,43.5,29860
95970,ZCTA5 95970,63750,49.5,616
95993,ZCTA5 95993,69019,37.8,37077
95204,ZCTA5 95204,53077,37,28667
